Customer_ID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster
1,Male,67,60,58,4
2,Male,34,94,88,1
3,Male,49,60,49,4
4,Male,38,19,13,0
5,Female,65,63,47,4
6,Female,46,50,40,4
7,Female,41,104,17,5
8,Male,35,24,35,0
9,Male,67,61,58,4
10,Female,37,66,41,4
11,Male,60,55,45,4
12,Female,23,55,54,4
13,Female,63,65,44,4
14,Male,21,65,48,4
15,Male,26,63,55,4
16,Male,38,79,87,1
17,Male,47,70,8,5
18,Male,33,76,88,1
19,Female,32,44,51,4
20,Male,21,15,80,3
21,Female,22,59,56,4
22,Female,30,78,78,1
23,Female,31,39,74,3
24,Male,38,70,74,1
25,Female,32,104,66,1
26,Male,28,100,68,1
27,Male,35,25,34,0
28,Female,56,80,35,5
29,Male,69,43,43,4
30,Male,25,24,73,3
31,Female,35,60,61,4
32,Female,29,42,43,4
33,Female,27,44,51,4
34,Male,31,87,63,1
35,Male,28,104,67,1
36,Male,38,20,13,0
37,Female,36,103,86,1
38,Female,35,104,84,1
39,Female,51,86,12,5
40,Female,36,102,83,1
41,Female,50,42,53,4
42,Male,54,65,46,4
43,Female,50,44,43,4
44,Female,54,48,60,4
45,Male,47,71,9,5
46,Female,49,44,51,4
47,Male,21,73,6,5
48,Male,35,25,34,0
49,Female,60,51,47,4
50,Male,42,88,20,5
51,Male,20,21,65,3
52,Male,39,71,79,1
53,Female,33,60,59,4
54,Male,53,48,43,4
55,Female,24,19,79,3
56,Male,64,18,3,0
57,Female,50,60,46,4
58,Female,32,41,54,4
59,Male,37,69,73,1
60,Female,47,54,41,4
61,Male,18,59,43,4
62,Male,65,62,50,4
63,Male,28,101,70,1
64,Male,32,137,19,2
65,Male,28,86,75,1
66,Female,24,21,93,3
67,Female,52,89,16,5
68,Female,49,34,13,0
69,Male,58,52,50,4
70,Female,31,79,94,1
71,Female,30,41,41,4
72,Male,25,64,54,4
73,Male,38,70,75,1
74,Male,21,15,82,3
75,Female,31,70,73,1
76,Male,59,42,63,4
77,Female,21,62,40,4
